"ID_REGION";"LIB_REGION";"ID_ZONE";"LIB_ZONE";"ID_AGENCE";"LIB_AGENCE";"COMPANY"
"730";DIR. REGION. SOUSSE CENTRE ET SAHEL;"582";ZONE CENTRE ET SAHEL 1;"26";AGENCE MSAKEN (26);TN0021026
"730";DIR. REGION. SOUSSE CENTRE ET SAHEL;"582";ZONE CENTRE ET SAHEL 1;"311";AGENCE SOUK LAHAD (V1);TN0021311
"728";DIRECTION REGIONALE TUNIS 1;"578";ZONE TUNIS NORD;"137";AGENCE MONTPLAISIR (D7);TN0021137
"728";DIRECTION REGIONALE TUNIS 1;"578";ZONE TUNIS NORD;"15";AGENCE LES BERGES DU LAC (15);TN0021015
"729";DIRECTION REGIONALE TUNIS 2;"735";ZONE TUNIS OUEST;"74";AGENCE AVENUE HEDI CHAKER (74);TN0021074
"729";DIRECTION REGIONALE TUNIS 2;"579";ZONE TUNIS SUD;"218";AGENCE BOUMHEL (L8);TN0021218
"729";DIRECTION REGIONALE TUNIS 2;"579";ZONE TUNIS SUD;"73";AGENCE BEN AROUS (73);TN0021073
"728";DIRECTION REGIONALE TUNIS 1;"580";ZONE NORD;"204";AGENCE MENZEL JEMIL (K4);TN0021204
"728";DIRECTION REGIONALE TUNIS 1;"580";ZONE NORD;"295";AGENCE TEBOURBA (T5);TN0021295
"729";DIRECTION REGIONALE TUNIS 2;"577";ZONE TUNIS CENTRE;"56";AGENCE GALAXY (56);TN0021056
"731";DIRECTION REGIONALE SFAX ET SUD;"583";ZONE SFAX ET SUD 3;"201";AGENCE GREMDA MERKEZ KAMMOUN (K1);TN0021201
"728";DIRECTION REGIONALE TUNIS 1;"578";ZONE TUNIS NORD;"306";AGENCE LES JARDINS DE CARTHAGE (U6);TN0021306
"731";DIRECTION REGIONALE SFAX ET SUD;"733";ZONE SFAX ET SUD 2;"122";AGENCE SAKIET EDDAIER (C2);TN0021122
"731";DIRECTION REGIONALE SFAX ET SUD;"733";ZONE SFAX ET SUD 2;"138";AGENCE SFAX ROUTE DE TENIOUR (D8);TN0021138
"731";DIRECTION REGIONALE SFAX ET SUD;"733";ZONE SFAX ET SUD 2;"287";AGENCE SFAX ROUTE LAFRANE (S7);TN0021287
"728";DIRECTION REGIONALE TUNIS 1;"732";ZONE ARIANA;"131";AGENCE CITE DES SCIENCES (D1);TN0021131
"728";DIRECTION REGIONALE TUNIS 1;"732";ZONE ARIANA;"214";AGENCE SOUKRA (L4);TN0021214
"729";DIRECTION REGIONALE TUNIS 2;"576";ZONE CAP BON;"213";AGENCE KELIBIA (L3);TN0021213
"729";DIRECTION REGIONALE TUNIS 2;"576";ZONE CAP BON;"277";AGENCE BENI KHALLED (R7);TN0021277
"730";DIR. REGION. SOUSSE CENTRE ET SAHEL;"734";ZONE CENTRE ET SAHEL 2;"21";AGENCE MAHDIA I (21);TN0021021
"728";DIRECTION REGIONALE TUNIS 1;"736";ZONE MENEZEH;"113";AGENCE CARNOY (B3);TN0021113
"728";DIRECTION REGIONALE TUNIS 1;"736";ZONE MENEZEH;"251";AGENCE LES JARDINS D'EL MENZAH (P1);TN0021251
"730";DIR. REGION. SOUSSE CENTRE ET SAHEL;"581";ZONE SOUSSE;"106";AGENCE SOUSSE MEDINA (A6);TN0021106
"730";DIR. REGION. SOUSSE CENTRE ET SAHEL;"581";ZONE SOUSSE;"205";AGENCE SOUSSE SAHLOUL (K5);TN0021205
"730";DIR. REGION. SOUSSE CENTRE ET SAHEL;"581";ZONE SOUSSE;"28";AGENCE SOUSSE CORNICHE (28);TN0021028
"729";DIRECTION REGIONALE TUNIS 2;"579";ZONE TUNIS SUD;"2";AGENCE BIR MCHERGUA (02);TN0021002
"729";DIRECTION REGIONALE TUNIS 2;"579";ZONE TUNIS SUD;"307";AGENCE MONCEF BEY (U7);TN0021307
"728";DIRECTION REGIONALE TUNIS 1;"580";ZONE NORD;"208";AGENCE MENZEL BOURGUIBA (K8);TN0021208
"728";DIRECTION REGIONALE TUNIS 1;"580";ZONE NORD;"293";AGENCE TESTOUR (T3);TN0021293
"729";DIRECTION REGIONALE TUNIS 2;"577";ZONE TUNIS CENTRE;"58";AGENCE RUE DE SYRIE (58);TN0021058
"729";DIRECTION REGIONALE TUNIS 2;"577";ZONE TUNIS CENTRE;"61";AG. COMPTOIR DES PARTICULIERS (61);TN0021061
"731";DIRECTION REGIONALE SFAX ET SUD;"583";ZONE SFAX ET SUD 3;"35";AGENCE SFAX CITE EL HABIB (35);TN0021035
"731";DIRECTION REGIONALE SFAX ET SUD;"584";ZONE SFAX ET SUD 1;"41";AGENCE GABES (41);TN0021041
"731";DIRECTION REGIONALE SFAX ET SUD;"584";ZONE SFAX ET SUD 1;"400";AGENCE TEST;TN0021400
